Week,Leather: (New York),Leather: (California)
2020-01-05,73,45
2020-01-12,75,52
2020-01-19,68,51
2020-01-26,61,43
2020-02-02,68,45
2020-02-09,59,42
2020-02-16,76,49
2020-02-23,71,44
2020-03-01,62,43
2020-03-08,63,38
2020-03-15,51,30
2020-03-22,44,32
2020-03-29,50,35
2020-04-05,55,33
2020-04-12,52,37
2020-04-19,49,36
2020-04-26,53,35
2020-05-03,59,38
2020-05-10,57,37
2020-05-17,58,42
2020-05-24,60,39
2020-05-31,57,36
2020-06-07,59,42
2020-06-14,61,46
2020-06-21,61,50
2020-06-28,62,42
2020-07-05,65,43
2020-07-12,66,40
2020-07-19,58,44
2020-07-26,63,45
2020-08-02,62,43
2020-08-09,68,43
2020-08-16,73,40
2020-08-23,63,39
2020-08-30,68,41
2020-09-06,75,45
2020-09-13,69,41
2020-09-20,78,48
2020-09-27,73,43
2020-10-04,77,47
2020-10-11,86,47
2020-10-18,77,52
2020-10-25,77,49
2020-11-01,69,37
2020-11-08,75,53
2020-11-15,72,53
2020-11-22,86,61
2020-11-29,82,63
2020-12-06,71,56
2020-12-13,71,59
2020-12-20,70,54
2020-12-27,84,50
2021-01-03,73,48
2021-01-10,72,48
2021-01-17,81,46
2021-01-24,69,44
2021-01-31,71,49
2021-02-07,71,46
2021-02-14,75,48
2021-02-21,68,46
2021-02-28,63,44
2021-03-07,70,46
2021-03-14,62,52
2021-03-21,59,46
2021-03-28,62,47
2021-04-04,65,43
2021-04-11,62,45
2021-04-18,61,48
2021-04-25,60,45
2021-05-02,70,45
2021-05-09,48,41
2021-05-16,56,44
2021-05-23,56,44
2021-05-30,67,50
2021-06-06,54,47
2021-06-13,55,44
2021-06-20,53,44
2021-06-27,69,43
2021-07-04,65,45
2021-07-11,56,48
2021-07-18,59,48
2021-07-25,61,47
2021-08-01,67,46
2021-08-08,61,47
2021-08-15,63,48
2021-08-22,62,48
2021-08-29,72,50
2021-09-05,63,56
2021-09-12,72,49
2021-09-19,73,50
2021-09-26,79,53
2021-10-03,85,54
2021-10-10,79,58
2021-10-17,79,58
2021-10-24,83,61
2021-10-31,77,57
2021-11-07,84,60
2021-11-14,82,60
2021-11-21,92,77
2021-11-28,100,71
2021-12-05,84,68
2021-12-12,81,63
2021-12-19,76,61
2021-12-26,82,68
2022-01-02,73,59
2022-01-09,71,53
2022-01-16,66,53
2022-01-23,67,53
2022-01-30,73,54
2022-02-06,72,57
2022-02-13,72,52
2022-02-20,65,62
2022-02-27,75,54
2022-03-06,72,55
2022-03-13,65,54
2022-03-20,66,56
2022-03-27,65,54
2022-04-03,62,52
2022-04-10,59,51
2022-04-17,60,51
2022-04-24,60,51
2022-05-01,60,49
2022-05-08,61,46
2022-05-15,59,46
2022-05-22,55,45
2022-05-29,53,49
2022-06-05,57,49
2022-06-12,58,46
2022-06-19,56,48
2022-06-26,59,48
2022-07-03,57,51
2022-07-10,62,50
2022-07-17,55,51
2022-07-24,55,48
2022-07-31,60,50
2022-08-07,71,48
2022-08-14,62,51
2022-08-21,62,51
2022-08-28,67,45
2022-09-04,70,48
2022-09-11,66,49
2022-09-18,66,55
2022-09-25,76,57
2022-10-02,83,58
2022-10-09,78,57
2022-10-16,81,64
2022-10-23,71,59
2022-10-30,68,55
2022-11-06,65,64
2022-11-13,77,65
2022-11-20,84,75
2022-11-27,88,73
2022-12-04,75,68
2022-12-11,80,73
2022-12-18,77,64
2022-12-25,78,73
2023-01-01,69,62
2023-01-08,70,56
2023-01-15,68,59
2023-01-22,65,54
2023-01-29,67,53
2023-02-05,61,52
2023-02-12,66,53
2023-02-19,68,54
2023-02-26,62,55
2023-03-05,66,50
2023-03-12,62,50
2023-03-19,64,53
2023-03-26,62,51
2023-04-02,66,46
2023-04-09,58,51
2023-04-16,56,48
2023-04-23,59,49
2023-04-30,66,49
2023-05-07,57,48
2023-05-14,52,47
2023-05-21,57,48
2023-05-28,56,50
2023-06-04,61,49
2023-06-11,59,47
2023-06-18,53,50
2023-06-25,57,48
2023-07-02,61,50
2023-07-09,52,48
2023-07-16,59,46
2023-07-23,62,47
2023-07-30,62,47
2023-08-06,60,48
2023-08-13,64,48
2023-08-20,66,51
2023-08-27,65,53
2023-09-03,66,52
2023-09-10,65,53
2023-09-17,71,53
2023-09-24,77,55
2023-10-01,70,55
2023-10-08,79,59
2023-10-15,75,57
2023-10-22,72,56
2023-10-29,74,54
2023-11-05,72,58
2023-11-12,75,68
2023-11-19,85,82
2023-11-26,85,77
2023-12-03,75,71
2023-12-10,77,66
2023-12-17,68,66
2023-12-24,72,66
2023-12-31,72,61
