Week,Gingham: (California),Gingham: (New York)
2020-01-05,33,46
2020-01-12,31,34
2020-01-19,36,53
2020-01-26,33,56
2020-02-02,34,37
2020-02-09,31,53
2020-02-16,27,72
2020-02-23,32,62
2020-03-01,41,46
2020-03-08,24,43
2020-03-15,23,48
2020-03-22,40,36
2020-03-29,39,28
2020-04-05,35,38
2020-04-12,36,39
2020-04-19,51,49
2020-04-26,39,47
2020-05-03,47,51
2020-05-10,45,68
2020-05-17,51,65
2020-05-24,62,66
2020-05-31,44,57
2020-06-07,44,53
2020-06-14,38,49
2020-06-21,52,65
2020-06-28,55,57
2020-07-05,61,73
2020-07-12,65,77
2020-07-19,47,82
2020-07-26,41,65
2020-08-02,47,68
2020-08-09,40,62
2020-08-16,48,70
2020-08-23,31,51
2020-08-30,48,69
2020-09-06,34,58
2020-09-13,38,47
2020-09-20,31,49
2020-09-27,28,58
2020-10-04,36,53
2020-10-11,33,61
2020-10-18,42,62
2020-10-25,40,47
2020-11-01,24,45
2020-11-08,18,57
2020-11-15,37,49
2020-11-22,31,36
2020-11-29,42,55
2020-12-06,48,37
2020-12-13,39,38
2020-12-20,35,41
2020-12-27,39,34
2021-01-03,19,55
2021-01-10,42,51
2021-01-17,34,37
2021-01-24,30,43
2021-01-31,29,54
2021-02-07,40,38
2021-02-14,35,53
2021-02-21,38,44
2021-02-28,49,43
2021-03-07,40,58
2021-03-14,45,52
2021-03-21,58,41
2021-03-28,54,63
2021-04-04,50,60
2021-04-11,55,61
2021-04-18,49,60
2021-04-25,50,60
2021-05-02,59,60
2021-05-09,54,77
2021-05-16,45,72
2021-05-23,51,99
2021-05-30,60,87
2021-06-06,86,54
2021-06-13,63,75
2021-06-20,56,70
2021-06-27,61,81
2021-07-04,66,61
2021-07-11,53,62
2021-07-18,50,83
2021-07-25,59,60
2021-08-01,42,45
2021-08-08,53,64
2021-08-15,45,56
2021-08-22,45,50
2021-08-29,53,57
2021-09-05,49,47
2021-09-12,53,57
2021-09-19,41,42
2021-09-26,44,79
2021-10-03,42,62
2021-10-10,29,67
2021-10-17,49,63
2021-10-24,33,67
2021-10-31,37,51
2021-11-07,32,47
2021-11-14,36,52
2021-11-21,37,21
2021-11-28,42,47
2021-12-05,38,27
2021-12-12,35,53
2021-12-19,31,40
2021-12-26,38,45
2022-01-02,45,53
2022-01-09,40,39
2022-01-16,36,59
2022-01-23,54,47
2022-01-30,41,64
2022-02-06,48,55
2022-02-13,43,64
2022-02-20,43,62
2022-02-27,54,79
2022-03-06,48,79
2022-03-13,64,51
2022-03-20,79,65
2022-03-27,63,66
2022-04-03,61,86
2022-04-10,66,73
2022-04-17,66,65
2022-04-24,65,95
2022-05-01,66,73
2022-05-08,53,76
2022-05-15,65,79
2022-05-22,66,94
2022-05-29,46,97
2022-06-05,68,75
2022-06-12,62,76
2022-06-19,63,80
2022-06-26,65,62
2022-07-03,62,52
2022-07-10,49,65
2022-07-17,69,63
2022-07-24,49,70
2022-07-31,55,44
2022-08-07,47,43
2022-08-14,52,50
2022-08-21,53,62
2022-08-28,32,67
2022-09-04,43,46
2022-09-11,39,43
2022-09-18,50,37
2022-09-25,42,37
2022-10-02,59,51
2022-10-09,46,42
2022-10-16,46,50
2022-10-23,39,40
2022-10-30,39,33
2022-11-06,31,51
2022-11-13,40,34
2022-11-20,47,42
2022-11-27,33,55
2022-12-04,32,36
2022-12-11,34,31
2022-12-18,47,30
2022-12-25,56,38
2023-01-01,31,49
2023-01-08,37,40
2023-01-15,40,46
2023-01-22,37,34
2023-01-29,34,61
2023-02-05,34,48
2023-02-12,50,56
2023-02-19,46,44
2023-02-26,61,55
2023-03-05,47,78
2023-03-12,56,60
2023-03-19,60,59
2023-03-26,69,67
2023-04-02,66,60
2023-04-09,49,68
2023-04-16,59,75
2023-04-23,52,70
2023-04-30,59,63
2023-05-07,49,61
2023-05-14,48,64
2023-05-21,57,67
2023-05-28,61,69
2023-06-04,63,100
2023-06-11,73,85
2023-06-18,61,82
2023-06-25,63,80
2023-07-02,92,76
2023-07-09,88,77
2023-07-16,75,76
2023-07-23,95,84
2023-07-30,76,77
2023-08-06,88,91
2023-08-13,71,70
2023-08-20,58,58
2023-08-27,70,80
2023-09-03,68,77
2023-09-10,66,46
2023-09-17,67,69
2023-09-24,55,60
2023-10-01,74,56
2023-10-08,67,58
2023-10-15,67,86
2023-10-22,62,73
2023-10-29,44,74
2023-11-05,44,49
2023-11-12,56,65
2023-11-19,45,53
2023-11-26,50,49
2023-12-03,55,44
2023-12-10,53,62
2023-12-17,57,35
2023-12-24,65,44
2023-12-31,51,56
